dates,year,NA1_distance_m,NA2_distance_m,NA3_distance_m,NA4_distance_m,NA5_distance_m
2019-01-04 02:17:17+00:00,2019,167.7148295892052,188.3175912949691,,,
2019-01-12 02:12:18+00:00,2019,153.2398575207391,178.83150164316856,,,
2019-02-05 02:17:11+00:00,2019,137.83652523627106,173.31525880383532,427.01973160161356,364.284615348956,234.05304609361366
2019-02-13 02:11:19+00:00,2019,,173.34379946280148,399.55251847284586,336.81567418921776,249.238447712338
2019-02-21 02:17:08+00:00,2019,137.76744733127552,173.3448398754472,401.60874432067794,338.87184957098253,227.9870446190947
2019-03-01 02:10:49+00:00,2019,156.1476747487095,175.82168335443416,359.44756967602825,296.71050861025924,187.8695550540724
2019-03-09 02:17:27+00:00,2019,152.86591147609798,173.3342490807686,347.1881670360967,284.45104814968045,189.30604725272298
2019-03-25 02:17:23+00:00,2019,155.41481002137414,173.34563212500368,252.37833658576443,189.64115644094275,146.86213535222072
2019-04-02 02:09:46+00:00,2019,163.3021351231754,180.04945938678898,244.61170248423272,181.87505768131282,160.15478853064866
2019-04-10 02:17:19+00:00,2019,166.98011792919513,178.9311950777019,236.52965056810424,173.79244907626216,112.32101495117517
2019-05-04 02:08:36+00:00,2019,160.33956189946082,188.28750138905602,200.48007250640143,141.956892824219,111.6171097236381
2019-05-12 02:17:21+00:00,2019,151.6988833114653,173.33651404595807,252.88490583553522,190.147845607683,138.64387034422631
2019-05-20 02:07:58+00:00,2019,,,,,
2019-06-21 02:06:49+00:00,2019,154.91194754895278,158.3106073629136,238.76093502383355,176.02426173000183,134.3627502304443
2019-07-07 02:06:13+00:00,2019,152.86134199401926,173.32597319420213,221.6682751766368,158.93128605764218,111.68680989511896
2019-07-31 02:17:28+00:00,2019,157.985839280984,188.2911303244609,237.7672215429106,175.03031301350316,132.04803951875064
2019-08-16 02:17:33+00:00,2019,155.9890496618392,175.31615098004954,237.9307604224747,175.19389060660313,130.65021887285445
2019-10-03 02:17:47+00:00,2019,145.89934823872602,173.33936859396923,,,
2019-10-11 02:02:12+00:00,2019,152.65891575755154,173.7383896435427,238.69819695872314,175.96150881330178,137.1744145835471
2019-10-19 02:18:13+00:00,2019,154.99789465287927,173.3435798937049,,,159.07241496270694
2019-10-27 02:01:31+00:00,2019,151.00765212244806,180.91657612342024,253.31215416829943,190.57519508027218,136.55691225933532
2019-11-20 02:17:45+00:00,2019,133.830449496891,173.33229378552502,,,
2019-11-28 02:00:02+00:00,2019,,176.9416212180267,239.19537533893856,176.4612656295786,
2019-12-06 02:17:44+00:00,2019,132.17884128355078,173.32773325755304,,,
2019-12-14 01:59:15+00:00,2019,,173.88039402705155,,,
2019-12-22 02:18:05+00:00,2019,152.15236407248955,174.81749648582058,,,
2019-12-30 01:58:25+00:00,2019,,173.33802688414494,,,
2020-01-23 02:17:33+00:00,2020,137.87792906343452,173.32584247930933,,,
2020-01-31 01:56:49+00:00,2020,137.8872466201269,173.33110264794428,,,
2020-02-08 02:17:52+00:00,2020,170.33157640076743,,,,
2020-02-16 01:56:00+00:00,2020,152.8662436365874,173.66284349287136,,,
2020-03-03 01:55:09+00:00,2020,157.945818996178,179.12401772611992,253.15037925166703,190.4133818676758,180.67889868810687
2020-03-11 02:17:43+00:00,2020,152.86783799971138,173.3486099858606,252.26737891251176,189.53017250137427,176.69579574169794
2020-03-19 01:54:16+00:00,2020,150.38344351338796,173.35271101121106,268.59179180069555,205.85471935242447,194.79902650685597
2020-03-27 02:17:34+00:00,2020,158.92596813039773,173.34527979524927,252.60812400851427,189.87099825983165,143.39602026371665
2020-04-04 01:53:22+00:00,2020,148.4670213973994,175.40009946438877,261.7957259430587,199.05865939167884,171.8360824024273
2020-04-20 01:52:27+00:00,2020,148.48411944261596,173.34217759850506,253.05111340151146,190.31409251893652,142.2361912330506
2020-05-06 01:51:29+00:00,2020,142.85006196059715,143.71627746069518,258.8173609235117,196.0803674703131,161.25818450822942
2020-05-22 01:50:30+00:00,2020,151.56094171311253,173.329530812053,255.1570192046927,205.24243356898646,156.04025340356247
2020-05-30 02:16:54+00:00,2020,152.68830328567498,173.351554383556,261.61901420732516,198.88195199299145,162.7099607785209
2020-06-07 01:49:34+00:00,2020,152.5279001684808,178.07085493485545,252.886411021197,190.14935114965795,131.00780639736783
2020-06-23 01:48:37+00:00,2020,,,,,
2020-07-01 02:17:36+00:00,2020,144.3636892712584,173.33343695154562,268.5187805585079,205.7816908267422,163.5253431057238
2020-07-25 01:46:41+00:00,2020,137.90707993854272,164.48000231551902,268.20766295453535,205.4704995738456,156.0541548785446
2020-08-26 01:44:39+00:00,2020,145.18935026247073,174.21567529153168,,,180.82967871786605
2020-09-11 01:43:36+00:00,2020,139.07341131933094,173.343184109929,,,167.31611714736584
2020-09-19 02:18:05+00:00,2020,159.25479003118306,181.70811426517272,238.26136011576094,175.52456856068656,140.72740940426553
2020-09-27 01:42:33+00:00,2020,155.0068310560535,180.15511369107898,253.14264255893835,190.40564334348826,153.90992166532823
2020-10-05 02:17:44+00:00,2020,152.82223457650684,175.9240149659364,252.952391889393,190.21534763709212,159.44198409224208
2020-12-24 02:18:08+00:00,2020,138.98267662206794,173.33130693237177,316.1867141819012,,
2021-01-25 02:17:57+00:00,2021,137.8689248080691,173.32885050679127,299.6117354100108,,
2021-02-10 02:17:55+00:00,2021,138.7230082739374,173.3245590466353,,,
2021-02-26 02:17:26+00:00,2021,142.23371947333794,173.32623269680542,268.7032767914116,205.96623073428495,197.6582733219011
2021-05-01 02:16:58+00:00,2021,158.8508591874459,173.34285302969795,238.2703155141632,175.53352607904426,138.65483212892056
2021-05-25 01:24:34+00:00,2021,152.7640589194646,173.33784119658665,263.7255865790264,200.9884726629678,146.5147472774746
2021-06-18 02:17:16+00:00,2021,140.04468930631649,173.33134292924822,268.59871282420687,205.8616420143064,152.357925881963
2021-08-05 02:17:54+00:00,2021,155.4686702367142,176.49449589848174,252.71726548343395,189.9801655711299,144.78742259493754
2021-09-14 01:14:59+00:00,2021,152.8085444046779,173.33168971202403,268.62258520099,205.88552004224792,
2021-09-22 02:18:07+00:00,2021,163.9620253533328,179.2840565822164,237.3960598874831,174.65906349529894,135.17370429286282
2021-11-17 01:09:08+00:00,2021,155.6451716998912,171.0870771909053,253.10769682068874,190.37068933275265,146.13551292742886
2021-12-03 01:07:37+00:00,2021,139.30358796088626,173.3291767169252,260.9336666540129,198.19662126020296,166.39524328756218
2022-01-04 02:17:42+00:00,2022,,173.32629435393815,,,
2022-01-12 02:17:39+00:00,2022,141.2698669247373,173.33282527380828,,,
2022-01-20 02:17:41+00:00,2022,,,269.92389358392614,207.1871364757766,
